adname,cityname,location,name,type
海淀区,北京市,116.299475#39.916828,A+教育,科教文化服务;培训机构;培训机构
海淀区,北京市,116.089226#40.06937,阳台山自然风景区-东门检票口,风景名胜;风景名胜;风景名胜
海淀区,北京市,116.266886#39.929159,中国烟酒(半壁店第二社区西南),购物服务;专卖店;烟酒专卖店
海淀区,北京市,116.265015#40.027063,总参谋部总医院重症肌无力治疗中心,医疗保健服务;专科医院;专科医院
海淀区,北京市,116.274346#39.921047,三元及递(定慧寺配送中心),生活服务;物流速递;物流速递
海淀区,北京市,116.27418#39.917805,五棵松饭店(南门),通行设施;临街院门;临街院门
海淀区,北京市,116.312209#39.977718,佐登妮丝美容SPA生活馆(中关村店),生活服务;美容美发店;美容美发店
海淀区,北京市,116.367894#39.962266,乐育超市,购物服务;便民商店/便利店;便民商店/便利店
海淀区,北京市,116.253986#39.923741,玉阜嘉园社区,地名地址信息;普通地名;村庄级地名
海淀区,北京市,116.240211#39.978221,雅姿(旱河店),生活服务;美容美发店;美容美发店
海淀区,北京市,116.293701#40.025651,博雅西园10号楼,地名地址信息;门牌信息;楼栋号
海淀区,北京市,116.282727#39.954586,名烟名酒(远大南街),购物服务;专卖店;烟酒专卖店
海淀区,北京市,116.303826#39.908126,康玉药店(翠微百货店),医疗保健服务;医药保健销售店;药房
海淀区,北京市,116.356772#40.034621,裹儿投递点,生活服务;生活服务场所;生活服务场所
海淀区,北京市,116.329916#39.968823,韩国爱慕婚纱摄影(青云店),生活服务;摄影冲印店;摄影冲印
海淀区,北京市,116.345362#39.960066,京果商厦停车场(出入口),交通设施服务;停车场;停车场出入口
海淀区,北京市,116.37058#40.037115,爱亲精品母婴生活馆,购物服务;专卖店;专营店
海淀区,北京市,116.279713#40.043091,椒塘餐厅,餐饮服务;中餐厅;特色/地方风味餐厅
海淀区,北京市,116.363431#39.959218,猫眼(立身路),餐饮服务;冷饮店;冷饮店
海淀区,北京市,116.322389#39.982424,北京石大双的店(玉带河大街分店),住宿服务;住宿服务相关;住宿服务相关
海淀区,北京市,116.359367#40.001426,科文天和养生馆,生活服务;洗浴推拿场所;洗浴推拿场所
海淀区,北京市,116.348414#39.947448,北京交通大学东校区培训公寓,商务住宅;住宅区;宿舍
海淀区,北京市,116.271454#39.943488,金象珠宝(金四季购物中心),购物服务;专卖店;珠宝首饰工艺品
海淀区,北京市,116.31289#39.993489,北京大学动力中心水管科,科教文化服务;学校;高等院校
海淀区,北京市,116.336082#39.89819,水运报记者站,科教文化服务;传媒机构;传媒机构
海淀区,北京市,116.311412#40.02855,千叶珠宝(华联商厦),购物服务;专卖店;珠宝首饰工艺品
海淀区,北京市,116.311361#39.909227,美的(复兴路辅路),购物服务;家电电子卖场;家电电子卖场
海淀区,北京市,116.255741#39.946185,才艺中心,科教文化服务;科教文化场所;科教文化场所
海淀区,北京市,116.30613#39.981903,山外(苏州街店),餐饮服务;咖啡厅;咖啡厅
海淀区,北京市,116.295172#39.97309,A-049(北京华联万柳购物中心),室内设施;室内设施;室内设施
海淀区,北京市,116.30228#39.962256,润鑫美容养护中心,汽车服务;汽车养护/装饰;汽车养护
海淀区,北京市,116.325215#39.952332,北京大学口腔医学院,科教文化服务;学校;高等院校
海淀区,北京市,116.297573#39.967554,第十一税务所,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关
海淀区,北京市,116.284592#40.024289,北京微拓维诺科技有限公司,购物服务;专卖店;专营店
海淀区,北京市,116.291334#39.947108,嘉豪国际中心停车场,交通设施服务;停车场;公共停车场
海淀区,北京市,116.203781#40.095541,东马坊路,地名地址信息;交通地名;道路名
海淀区,北京市,116.311709#39.988962,北京大学教育学院楼,科教文化服务;学校;学校
海淀区,北京市,116.350305#39.946185,舒至嘉园停车场,交通设施服务;停车场;公共停车场
海淀区,北京市,116.268341#39.929005,祥龙公交公司(公交站),交通设施服务;公交车站;公交车站相关
海淀区,北京市,116.370366#40.037179,一品香家常菜快餐,餐饮服务;快餐厅;快餐厅
海淀区,北京市,116.334029#39.984576,银谷财富,金融保险服务;金融保险服务机构;金融保险机构
海淀区,北京市,116.282201#40.001957,茅台镇散酒名酒直销,购物服务;专卖店;烟酒专卖店
海淀区,北京市,116.332543#39.991176,国务院发展研究中心,政府机构及社会团体;政府机关;国家级机关及事业单位|科教文化服务;科研机构;科研机构
海淀区,北京市,116.199567#39.992096,手工布艺(香山店),购物服务;家居建材市场;布艺市场
海淀区,北京市,116.255733#40.005675,金泰湾,商务住宅;商务住宅相关;商务住宅相关
海淀区,北京市,116.313009#39.924349,AB内衣(航天桥专卖店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店
海淀区,北京市,116.291269#39.967208,应急避难场所(万泉庄路),公共设施;紧急避难场所;紧急避难场所
海淀区,北京市,116.298935#39.955415,厂洼二社区阅览室,科教文化服务;科教文化场所;科教文化场所
海淀区,北京市,116.335085#39.952574,来二两饺子馆,餐饮服务;中餐厅;东北菜
海淀区,北京市,116.324583#40.002064,清华大学行胜於言,风景名胜;风景名胜;风景名胜
海淀区,北京市,116.362128#40.004014,中国农业大学水文地质实验室,科教文化服务;学校;高等院校
海淀区,北京市,116.323811#39.925108,首都师范大学东校区职工宿舍,商务住宅;住宅区;宿舍
海淀区,北京市,116.207723#39.974464,酷玛电动车,购物服务;专卖店;自行车专卖店
海淀区,北京市,116.30756#39.98426,海文考研(中关村店),科教文化服务;培训机构;培训机构
海淀区,北京市,116.364428#40.062051,本真·雅童艺术培训学校,科教文化服务;培训机构;培训机构
海淀区,北京市,116.337026#39.994004,中国电信星球通(成府路合作厅),生活服务;电讯营业厅;中国电信营业厅
海淀区,北京市,116.349828#39.946766,睽睽花店,购物服务;专卖店;专营店
海淀区,北京市,116.33685#39.955601,铁科院金属及化学研究所,科教文化服务;科研机构;科研机构
海淀区,北京市,116.298736#39.912173,翠微南里11号楼,地名地址信息;门牌信息;楼栋号
海淀区,北京市,116.313216#39.995932,北京大学光华管理学院阿里巴巴报告厅,科教文化服务;学校;高等院校
海淀区,北京市,116.289101#39.958335,汉堡王(北京世纪金源店),餐饮服务;快餐厅;快餐厅
海淀区,北京市,116.269365#40.079035,特来电汽车充电站,汽车服务;充电站;充电站
海淀区,北京市,116.300608#40.038746,千百度(君太百货店),购物服务;服装鞋帽皮具店;品牌鞋店
海淀区,北京市,116.212738#40.1175,上庄东小营东口(公交站),交通设施服务;公交车站;公交车站相关
海淀区,北京市,116.314514#39.989002,北京大学中国哲学暨文化研究所,科教文化服务;科研机构;科研机构
海淀区,北京市,116.303285#39.936206,阿那亚城市公馆,商务住宅;住宅区;住宅小区
海淀区,北京市,116.314789#39.935853,北京洋华通建筑装饰有限公司,公司企业;公司;广告装饰
海淀区,北京市,116.263634#39.910204,永定路街道爱心家园,政府机构及社会团体;社会团体;慈善机构
海淀区,北京市,116.279252#40.024284,河间驴肉火烧(农大店),餐饮服务;中餐厅;特色/地方风味餐厅
海淀区,北京市,116.327014#39.999714,清华园街道联合执法队,政府机构及社会团体;政府机关;乡镇级政府及事业单位
海淀区,北京市,116.364284#39.97375,鑫康源(花园路店),生活服务;洗浴推拿场所;洗浴推拿场所
海淀区,北京市,116.221102#39.932982,京郊商店,购物服务;便民商店/便利店;便民商店/便利店
海淀区,北京市,116.268481#40.078757,10号摄影工作室,生活服务;摄影冲印店;摄影冲印
海淀区,北京市,116.247349#40.067909,丰滢东路与丰滢西路交叉口,地名地址信息;交通地名;路口名
海淀区,北京市,116.35597#39.957542,学院南路34号院(学院南路),商务住宅;住宅区;住宅小区
海淀区,北京市,116.290633#39.998306,停车场(颐和园路),交通设施服务;停车场;路边停车场
海淀区,北京市,116.236591#39.974436,瀚河园停车场,交通设施服务;停车场;专用停车场
海淀区,北京市,116.326558#39.922593,北京合义隆商店,购物服务;便民商店/便利店;便民商店/便利店
海淀区,北京市,116.353#39.979634,教师办公室(新主楼),室内设施;室内设施;室内设施
海淀区,北京市,116.1135#40.068789,北京凤凰关爱护理院,体育休闲服务;度假疗养场所;疗养院
海淀区,北京市,116.336586#39.959812,皂君庙东里,商务住宅;住宅区;住宅区
海淀区,北京市,116.280469#40.047858,北京奥特美克科技股份有限公司,公司企业;公司;公司
海淀区,北京市,116.253139#40.044118,北京市火化设备厂,公司企业;工厂;工厂
海淀区,北京市,116.318118#39.972693,中国人民大学-巨人艺术学校,科教文化服务;培训机构;培训机构
海淀区,北京市,116.357257#39.959401,骏朗眼镜(北邮店),购物服务;专卖店;眼镜店
海淀区,北京市,116.352814#39.978873,颐尊水疗(学院路店),生活服务;洗浴推拿场所;洗浴推拿场所
海淀区,北京市,116.362431#40.033673,停车场(龙岗安居里西),交通设施服务;停车场;路边停车场
海淀区,北京市,116.309035#39.906507,公主坟D口(西南口),商务住宅;商务住宅相关;商务住宅相关
海淀区,北京市,116.368978#39.980838,中国公民出入境证件派出所受理站点,政府机构及社会团体;公检法机构;公安警察
海淀区,北京市,116.239224#39.928958,YER尊钰优尔国际医疗抗衰中心,医疗保健服务;专科医院;整形美容
海淀区,北京市,116.189999#40.097959,稻香湖畔不不家,住宿服务;旅馆招待所;旅馆招待所
海淀区,北京市,116.29759#39.90985,翠北超市,购物服务;超级市场;超市
海淀区,北京市,116.254706#39.900151,便民超市,购物服务;购物相关场所;购物相关场所
海淀区,北京市,116.178959#40.097046,稻香湖北路与稻香湖路交叉口,地名地址信息;交通地名;路口名
海淀区,北京市,116.270182#39.90044,中国工商银行24小时自助银行(永定路支行),金融保险服务;自动提款机;中国工商银行ATM
海淀区,北京市,116.287948#39.917167,朱各庄1号楼,地名地址信息;门牌信息;楼栋号
海淀区,北京市,116.199501#39.991942,金桥阁工艺品,购物服务;专卖店;珠宝首饰工艺品
海淀区,北京市,116.358432#39.951005,庐隐养生馆,生活服务;洗浴推拿场所;洗浴推拿场所
海淀区,北京市,116.277939#39.929066,洋河蓝色金典棋牌室,体育休闲服务;娱乐场所;棋牌室
海淀区,北京市,116.347849#39.97341,伊尔萨洗衣店(太月园店),生活服务;洗衣店;洗衣店
海淀区,北京市,116.363564#40.033929,华源超市(宝盛里店),购物服务;便民商店/便利店;便民商店/便利店
海淀区,北京市,116.30293#39.96322,私处轰趴馆,体育休闲服务;体育休闲服务场所;体育休闲服务场所
海淀区,北京市,116.320877#39.970724,双立人(当代商城),购物服务;家居建材市场;厨卫市场
海淀区,北京市,116.354474#40.008516,都市丽人(学清路店),购物服务;服装鞋帽皮具店;品牌服装店
海淀区,北京市,116.27584#40.029406,向阳教育,科教文化服务;培训机构;培训机构
海淀区,北京市,116.349504#39.945855,老北京烧饼(交大东路),餐饮服务;餐饮相关场所;餐饮相关
海淀区,北京市,116.33815#40.04951,北京捷威思特科技有限公司停车场(出入口),交通设施服务;交通服务相关;交通服务相关
海淀区,北京市,116.265839#39.919235,金沟河路5号院823号楼,地名地址信息;门牌信息;楼栋号
海淀区,北京市,116.28813#39.960079,西门子(居然之家世纪金源店),购物服务;家电电子卖场;家电电子卖场
海淀区,北京市,116.311331#40.029585,数字园明,商务住宅;商务住宅相关;商务住宅相关
海淀区,北京市,116.25653#39.91783,金榜教育,科教文化服务;培训机构;培训机构
海淀区,北京市,116.34538#40.055934,育新培训中心,科教文化服务;培训机构;培训机构
海淀区,北京市,116.295179#39.972456,心系天下手机形象店,购物服务;家电电子卖场;家电电子卖场
海淀区,北京市,116.295236#39.972602,货梯(北京华联万柳购物中心),室内设施;室内设施;室内设施
海淀区,北京市,116.303614#39.908577,女洗手间(翠微百货翠微店A座),公共设施;公共厕所;女洗手间
海淀区,北京市,116.319183#39.932659,天图数码快印,生活服务;摄影冲印店;摄影冲印
海淀区,北京市,116.308725#39.977595,北京市八一学校-办公楼,科教文化服务;学校;学校
海淀区,北京市,116.317373#39.954969,正宗兰州拉面(民族大学西路),餐饮服务;中餐厅;清真菜馆
海淀区,北京市,116.303186#39.939011,银泉大厦游泳健身馆,体育休闲服务;运动场馆;游泳馆
海淀区,北京市,116.334454#39.997432,同方大厦,商务住宅;楼宇;商务写字楼
海淀区,北京市,116.266388#39.957811,长安四s店,汽车销售;汽车销售;汽车销售
海淀区,北京市,116.323665#39.925433,首都师范大学东校区学生公寓B座,商务住宅;楼宇;商务写字楼
海淀区,北京市,116.309657#39.944231,京爵会馆,体育休闲服务;休闲场所;休闲场所|生活服务;美容美发店;美容美发店
海淀区,北京市,116.317887#40.033967,苗香掉渣饼(上地店),餐饮服务;餐饮相关场所;餐饮相关
海淀区,北京市,116.287826#39.958578,芙儿优(世纪金源购物中心西区),购物服务;专卖店;儿童用品店
海淀区,北京市,116.271377#39.953689,梧桐树少儿艺术中心,科教文化服务;培训机构;培训机构
海淀区,北京市,116.315426#39.97845,自然堂(北京新中关购物中心店),购物服务;个人用品/化妆品店;其它个人用品店
海淀区,北京市,116.333028#39.994931,凤凰自行车(清华大学店),购物服务;专卖店;自行车专卖店
海淀区,北京市,116.333265#39.928408,中建大厦A座(正门),通行设施;建筑物门;建筑物正门
海淀区,北京市,116.301002#39.963161,光大花园6号楼,地名地址信息;门牌信息;楼栋号
海淀区,北京市,116.368273#39.977447,富安娜(翠微百货),购物服务;家居建材市场;布艺市场
海淀区,北京市,116.345331#39.977003,停车场(量子银座西南),交通设施服务;停车场;公共停车场
海淀区,北京市,116.3707#39.977704,北京七日公寓(牡丹园店),住宿服务;宾馆酒店;宾馆酒店
海淀区,北京市,116.297364#39.908254,自然堂,购物服务;个人用品/化妆品店;其它个人用品店
海淀区,北京市,116.311357#39.933775,花园写字楼,商务住宅;楼宇;商务写字楼
海淀区,北京市,116.332834#39.926663,大鸭梨烤鸭(甘家口店),餐饮服务;中餐厅;特色/地方风味餐厅
海淀区,北京市,116.3385#39.948697,五金建材沙子水泥电料水暖,购物服务;家居建材市场;建材五金市场
海淀区,北京市,116.312569#39.967876,中国人民大学游泳馆,体育休闲服务;运动场馆;游泳馆
海淀区,北京市,116.235699#39.955544,中原地产(杏石口路),生活服务;中介机构;中介机构
海淀区,北京市,116.331584#39.929288,停车场(中建大厦B座西北),交通设施服务;停车场;公共停车场
海淀区,北京市,116.351598#40.010871,客房,住宿服务;旅馆招待所;旅馆招待所
海淀区,北京市,116.130173#40.09617,全齐樱桃采摘园,体育休闲服务;休闲场所;采摘园
海淀区,北京市,116.27412#39.959808,鑫泰大厦(北2门),通行设施;临街院门;临街院门
海淀区,北京市,116.379581#39.979323,紫光园(健德桥店),餐饮服务;中餐厅;清真菜馆
海淀区,北京市,116.280273#39.911468,女洗手间(乐视体育生态中心玉渊潭南路),公共设施;公共厕所;女洗手间
海淀区,北京市,116.257361#39.974363,停车场(金渤瀚会议楼南),交通设施服务;停车场;公共停车场
海淀区,北京市,116.347591#39.962306,福瑞宏达大药房(大钟寺店),医疗保健服务;医药保健销售店;药房
海淀区,北京市,116.321163#39.97029,扶梯(当代商城),室内设施;室内设施;室内设施
海淀区,北京市,116.343411#39.969542,东方百盛家具(北三环西路辅路),购物服务;家居建材市场;家具城
海淀区,北京市,116.321973#39.898944,北京久富公寓,住宿服务;住宿服务相关;住宿服务相关
海淀区,北京市,116.327807#39.93811,华夏银行24小时自助银行(首体支行),金融保险服务;自动提款机;华夏银行ATM
海淀区,北京市,116.313796#39.939444,八月暑期孩子游泳班,体育休闲服务;运动场馆;运动场所
海淀区,北京市,116.377163#39.98298,公共厕所,公共设施;公共厕所;公共厕所
海淀区,北京市,116.302841#39.91217,全屋智能家居,购物服务;家居建材市场;家居建材市场
海淀区,北京市,116.29131#39.95973,世纪金源购物中心1号地库(入口),交通设施服务;停车场;停车场入口
海淀区,北京市,116.3246#39.92422,白堆子社区文明市民学校,科教文化服务;学校;学校
海淀区,北京市,116.195634#40.044602,公共厕所,公共设施;公共厕所;公共厕所
海淀区,北京市,116.308683#39.964474,神舟国旅集团(万泉河路辅路),生活服务;旅行社;旅行社
海淀区,北京市,116.285935#39.959151,停车场(贵友大厦西北),交通设施服务;停车场;公共停车场
海淀区,北京市,116.362257#40.054346,动享华羽体育中心,体育休闲服务;运动场馆;综合体育馆
海淀区,北京市,116.321618#39.905593,中国恩菲特工程公司,公司企业;公司;建筑公司
海淀区,北京市,116.304059#39.974018,飞达园区管理中心,生活服务;生活服务场所;生活服务场所
海淀区,北京市,116.354661#39.956987,好得快大药房(西直门店),医疗保健服务;医药保健销售店;药房
海淀区,北京市,116.352266#39.994602,虾吃虾涮(学院路店),餐饮服务;中餐厅;火锅店
海淀区,北京市,116.250248#40.038721,北京市海淀区打工子弟小学文华学校停车场,交通设施服务;停车场;停车场相关
海淀区,北京市,116.218317#39.970611,洪宇汽修,汽车维修;汽车维修;汽车维修
海淀区,北京市,116.259728#39.920793,中原地产(采石北路),生活服务;中介机构;中介机构
海淀区,北京市,116.291675#39.997092,都市丽人(西苑商场0955店),购物服务;服装鞋帽皮具店;品牌服装店
海淀区,北京市,116.333967#39.988105,InterStellar星际安讯,体育休闲服务;娱乐场所;网吧
海淀区,北京市,116.276863#40.029306,时尚坊(中发百旺商城),购物服务;服装鞋帽皮具店;品牌服装店
海淀区,北京市,116.204466#39.99388,香山地铁站入口,交通设施服务;地铁站;出入口
海淀区,北京市,116.260304#39.929009,橡胶院招待所,住宿服务;旅馆招待所;旅馆招待所
海淀区,北京市,116.339498#39.991793,江·博士(五道口购物中心),购物服务;专卖店;儿童用品店
海淀区,北京市,116.339963#39.972161,冷饮烟酒糖茶方便食品日用百货,购物服务;专卖店;专营店
海淀区,北京市,116.301102#40.051516,百度大厦地下停车场(西入口),交通设施服务;停车场;停车场入口
海淀区,北京市,116.323426#39.964672,烤肉拌饭plus,餐饮服务;外国餐厅;外国餐厅
海淀区,北京市,116.273635#40.002164,颐和园-公共厕所,公共设施;公共厕所;公共厕所
海淀区,北京市,116.34313#40.032705,砂轮厂宿舍3号楼,地名地址信息;门牌信息;楼栋号
海淀区,北京市,116.309031#39.981097,尚科创业社区(中关村),商务住宅;产业园区;产业园区
海淀区,北京市,116.331129#39.961871,农科东大道,地名地址信息;交通地名;道路名
海淀区,北京市,116.345152#39.980119,中国工商银行24小时自助银行(校园西路),金融保险服务;自动提款机;中国工商银行ATM
海淀区,北京市,116.30259#39.908548,惠而浦(翠微百货翠微店A座),购物服务;家电电子卖场;综合家电商场
海淀区,北京市,116.275294#39.968524,火器营桥(入口),通行设施;通行设施;通行设施
海淀区,北京市,116.257824#39.899209,48号院招待所,住宿服务;旅馆招待所;旅馆招待所
海淀区,北京市,116.269319#39.953323,中国烟草,购物服务;专卖店;烟酒专卖店
海淀区,北京市,116.21613#39.97566,京香花园-东区28号楼,地名地址信息;门牌信息;楼栋号
海淀区,北京市,116.236144#39.930667,宝龙海鲜大排挡,餐饮服务;中餐厅;中餐厅
海淀区,北京市,116.282303#39.994846,宫门前,风景名胜;风景名胜相关;旅游景点
海淀区,北京市,116.121762#40.09094,仁海烟酒专营店,购物服务;专卖店;烟酒专卖店
海淀区,北京市,116.293357#39.959539,北京市公安局海淀分局曙光派出所巡逻警务站,政府机构及社会团体;公检法机构;公检法机关
海淀区,北京市,116.342881#39.997441,北京西郊宾馆2号楼,住宿服务;宾馆酒店;三星级宾馆
海淀区,北京市,116.325312#40.001112,清华大学二氧化碳资源利用与减排技术北京市重点实验室,科教文化服务;科研机构;科研机构
海淀区,北京市,116.324574#39.903613,同心思纬全养生体验店(羊坊店东路),医疗保健服务;医疗保健服务场所;医疗保健服务场所
海淀区,北京市,116.326496#39.98009,中关村派出所,政府机构及社会团体;公检法机构;公安警察
海淀区,北京市,116.321965#39.939921,紫竹院公园-熳春亭,风景名胜;风景名胜;风景名胜
海淀区,北京市,116.345588#39.977906,量子芯座停车场(出口),交通设施服务;停车场;停车场出口
海淀区,北京市,116.315025#39.966256,友谊社区活动中心(北三环西路辅路),商务住宅;住宅区;社区中心
海淀区,北京市,116.254348#40.043362,北京福利院,政府机构及社会团体;社会团体;慈善机构
海淀区,北京市,116.305177#39.943453,富久内日式拉面(紫竹桥店),餐饮服务;外国餐厅;日本料理
海淀区,北京市,116.3134#39.980883,田老师红烧肉(食宝街店),餐饮服务;中餐厅;中餐厅
海淀区,北京市,116.215213#40.099584,上庄家园西路与东马坊路交叉口,地名地址信息;交通地名;路口名
海淀区,北京市,116.328542#39.9412,首都体育馆东1停车场,交通设施服务;停车场;停车场相关
海淀区,北京市,116.271192#40.084534,北清路22号院,科教文化服务;科研机构;科研机构
海淀区,北京市,116.334284#39.900253,北京市羊坊店医院(东门),通行设施;临街院门;临街院正门
海淀区,北京市,116.26533#40.023637,三〇九医院军人门诊(东门),通行设施;建筑物门;建筑物正门
海淀区,北京市,116.346126#39.964298,卷帘门防火门防护栏,购物服务;家居建材市场;家居建材市场
海淀区,北京市,116.368525#39.97903,合力创作,公司企业;公司;公司|生活服务;生活服务场所;生活服务场所
海淀区,北京市,116.3139#39.983945,啄木鸟教育(北京总部),科教文化服务;科教文化场所;科教文化场所
海淀区,北京市,116.250318#39.980043,北坞嘉园北里,商务住宅;住宅区;住宅小区
海淀区,北京市,116.297167#40.041783,重庆小吃(软件园店),餐饮服务;中餐厅;四川菜(川菜)
海淀区,北京市,116.097709#40.06896,翠微阳台山培训中心,科教文化服务;培训机构;培训机构
海淀区,北京市,116.166673#40.062327,中科海讯大厦,商务住宅;楼宇;商务写字楼
海淀区,北京市,116.296565#39.890325,北京托毕西药业有限公司-制药工厂,公司企业;公司企业;公司企业
海淀区,北京市,116.30806#39.966165,北京兴宝达集团商务旅游汽车租赁有限公司,汽车服务;汽车租赁;汽车租赁
海淀区,北京市,116.321027#39.970563,扶梯(当代商城),室内设施;室内设施;室内设施
海淀区,北京市,116.260169#39.897973,山西土特产(采石南路),购物服务;购物相关场所;购物相关场所
海淀区,北京市,116.362204#39.978835,塔院东街,地名地址信息;交通地名;道路名
海淀区,北京市,116.337444#40.031983,3·3私人定制,生活服务;美容美发店;美容美发店
海淀区,北京市,116.287188#40.033597,溢香茶缘茶艺馆,餐饮服务;茶艺馆;茶艺馆
海淀区,北京市,116.310664#40.0381,实创集团,公司企业;公司;公司
海淀区,北京市,116.299933#39.912748,完美微笑礼仪培训(东区教室店),科教文化服务;培训机构;培训机构
海淀区,北京市,116.21595#40.036373,北京崔抗胜诊所,医疗保健服务;诊所;诊所
海淀区,北京市,116.330692#39.965982,明光村社区卫生服务站,医疗保健服务;诊所;诊所
海淀区,北京市,116.367649#39.958427,英东学术会堂,科教文化服务;会展中心;会展中心
海淀区,北京市,116.28626#39.958295,纳帕,购物服务;专卖店;专营店
海淀区,北京市,116.243469#39.947774,双缘骨头锅,餐饮服务;中餐厅;中餐厅
海淀区,北京市,116.161505#40.027886,老高樱桃园,体育休闲服务;休闲场所;采摘园
海淀区,北京市,116.356547#39.953031,快剪,生活服务;美容美发店;美容美发店
海淀区,北京市,116.207012#39.964525,万德私家火锅,餐饮服务;中餐厅;火锅店
海淀区,北京市,116.32987#39.936901,西苑饭店1号楼-洗手间,公共设施;公共厕所;公共厕所
海淀区,北京市,116.341379#39.964806,通州区永乐店卫生院-狂犬病暴露预防处置门诊,医疗保健服务;诊所;诊所
海淀区,北京市,116.34412#39.982278,文印嘉年华,生活服务;生活服务场所;生活服务场所
海淀区,北京市,116.266395#40.014289,和谐红山文化传播,科教文化服务;传媒机构;传媒机构
海淀区,北京市,116.353305#40.03007,停车场(清缘里西),交通设施服务;停车场;路边停车场
海淀区,北京市,116.34224#39.947694,天地华宇物流,生活服务;物流速递;物流速递
海淀区,北京市,116.345387#40.033624,G6京藏高速与G6京藏高速入口交叉口,地名地址信息;交通地名;路口名
