Unnamed: 0,adname,cityname,location,name,type
49,历下区,济南市,117.125708#36.687444,山东远航国际旅行社,生活服务;旅行社;旅行社
50,历下区,济南市,117.050701#36.643404,榕宝堂艺术品投资有限公司,公司企业;公司企业;公司企业
51,历下区,济南市,117.021564#36.665596,361°(泰府广场),购物服务;体育用品店;体育用品店
52,历下区,济南市,117.050209#36.669773,北京特色酱肉,餐饮服务;餐饮相关场所;餐饮相关
53,历下区,济南市,117.042374#36.676409,山东通信电子大厦(东门),通行设施;临街院门;临街院门
54,历下区,济南市,117.126587#36.674782,北京国网富达科技发展有限责任公司济南基地,公司企业;公司;公司
55,历下区,济南市,117.047166#36.668544,济南市中心医院宿舍,商务住宅;住宅区;宿舍
56,历下区,济南市,117.129586#36.677314,碧波庭(康虹路店),生活服务;美容美发店;美容美发店
57,历下区,济南市,117.048835#36.665891,山东百事通国际旅行社东郊饭店营业部,生活服务;生活服务场所;生活服务场所
58,历下区,济南市,117.021822#36.657749,正觉寺2区27号楼,地名地址信息;门牌信息;楼栋号
59,历下区,济南市,117.017791#36.665048,平衡车总会(悦荟广场),公司企业;公司;公司|购物服务;购物相关场所;购物相关场所
60,历下区,济南市,117.121488#36.625849,锦屏家园(龙鼎大道)55号楼,地名地址信息;门牌信息;楼栋号
61,历下区,济南市,117.035245#36.680347,停车场(菜市庄街),交通设施服务;停车场;公共停车场
62,历下区,济南市,117.081372#36.642778,黄金99御园停车场(入口),交通设施服务;停车场;停车场入口
63,历下区,济南市,117.09562#36.681029,丁家庄608号楼,地名地址信息;门牌信息;楼栋号
64,历下区,济南市,117.076945#36.66647,宏通达汽修厂,汽车维修;汽车综合维修;汽车综合维修
65,历下区,济南市,117.052477#36.672103,南山水果,购物服务;综合市场;蔬菜市场
66,历下区,济南市,117.020841#36.656403,济南市公安局交支宿舍,商务住宅;住宅区;宿舍
67,历下区,济南市,117.109642#36.700923,亿家绝味(中海紫御东郡店),餐饮服务;中餐厅;特色/地方风味餐厅
68,历下区,济南市,117.029978#36.659489,利锋专柜,购物服务;购物相关场所;购物相关场所
69,历下区,济南市,117.041979#36.660961,济南佳乐家女生公寓(和平店),商务住宅;住宅区;住宅区
70,历下区,济南市,117.109552#36.696109,鲁商盛景广场,商务住宅;楼宇;商务写字楼
71,历下区,济南市,117.076213#36.643826,益高健身私人工作室(燕山店),生活服务;生活服务场所;生活服务场所
72,历下区,济南市,117.122937#36.680928,亨达(丁豪广场),购物服务;服装鞋帽皮具店;品牌服装店
73,历下区,济南市,117.023002#36.656339,正觉寺小区3区7号楼,地名地址信息;门牌信息;楼栋号
74,历下区,济南市,117.129#36.678458,科技大厦(东北门),通行设施;临街院门;临街院门
75,历下区,济南市,117.042496#36.673771,东仓小区15号楼,地名地址信息;门牌信息;楼栋号
76,历下区,济南市,117.119186#36.691544,新生活家园西门(公交站),交通设施服务;公交车站;公交车站相关
77,历下区,济南市,117.037062#36.681242,马家牛肉,餐饮服务;餐饮相关场所;餐饮相关
78,历下区,济南市,117.029619#36.659477,楼梯(银座商城),室内设施;室内设施;室内设施
79,历下区,济南市,117.01482#36.661335,趵突泉-花墙子泉,风景名胜;风景名胜;风景名胜
80,历下区,济南市,117.097286#36.678559,超蒙五金建材批发,购物服务;购物相关场所;购物相关场所
81,历下区,济南市,117.074074#36.644452,明德路,地名地址信息;交通地名;道路名
82,历下区,济南市,117.044711#36.660682,公共厕所,公共设施;公共厕所;公共厕所
83,历下区,济南市,117.095616#36.681154,丁家庄606号楼,地名地址信息;门牌信息;楼栋号
84,历下区,济南市,117.051083#36.643972,酒神巴克科斯啤酒俱乐部(环山路店),餐饮服务;中餐厅;特色/地方风味餐厅
85,历下区,济南市,117.102349#36.643565,恒泰汽车服务,汽车服务;汽车服务相关;汽车服务相关
86,历下区,济南市,117.103615#36.640465,福地街(公交站),交通设施服务;公交车站;公交车站相关
87,历下区,济南市,117.044777#36.658415,衣袂品高,购物服务;购物相关场所;购物相关场所
88,历下区,济南市,117.097689#36.678188,加工服装修补衣服,购物服务;专卖店;专营店
89,历下区,济南市,117.147644#36.692154,凤凰路工业南路(公交站),交通设施服务;公交车站;公交车站相关
90,历下区,济南市,117.135625#36.673698,齐鲁软件园停车场(出口),交通设施服务;停车场;停车场出口
91,历下区,济南市,117.038983#36.658095,女鞋店,购物服务;专卖店;专营店
92,历下区,济南市,117.022956#36.648745,广电老楼,商务住宅;住宅区;住宅区
93,历下区,济南市,117.119773#36.657096,卓得冷暖舒适家居,购物服务;家居建材市场;家居建材市场
94,历下区,济南市,117.092703#36.670866,馨逸养生馆,生活服务;洗浴推拿场所;洗浴推拿场所
95,历下区,济南市,117.04787#36.652322,公共厕所,公共设施;公共厕所;公共厕所
96,历下区,济南市,117.047204#36.673506,菏泽老面馒头,餐饮服务;餐饮相关场所;餐饮相关
97,历下区,济南市,117.098042#36.678226,凯悦理发,生活服务;美容美发店;美容美发店
98,历下区,济南市,117.029335#36.65997,新安怡,购物服务;专卖店;儿童用品店
99,历下区,济南市,117.040772#36.654775,好易得(文化东路),购物服务;文化用品店;文化用品店
100,历下区,济南市,117.096408#36.678641,丁家庄676号楼,地名地址信息;门牌信息;楼栋号
101,历下区,济南市,117.053764#36.677329,停车场(出入口),交通设施服务;停车场;停车场出入口
102,历下区,济南市,117.146875#36.697994,信诺数码,购物服务;家电电子卖场;数码电子
103,历下区,济南市,117.117384#36.661061,中国国电停车场,交通设施服务;停车场;公共停车场
104,历下区,济南市,117.084175#36.643536,停车场(出入口),交通设施服务;停车场;停车场出入口
105,历下区,济南市,117.099376#36.677233,建宏五金,购物服务;家居建材市场;建材五金市场
106,历下区,济南市,117.119273#36.705172,盛福花园28号楼,地名地址信息;门牌信息;楼栋号
107,历下区,济南市,117.022298#36.641327,广誉远国药堂(山东大厦店),医疗保健服务;医药保健销售店;药房
108,历下区,济南市,117.055661#36.66033,金德利轻骑厂店,餐饮服务;快餐厅;快餐厅
109,历下区,济南市,117.045333#36.670557,美得乐大酒店-西餐厅,餐饮服务;外国餐厅;外国餐厅
110,历下区,济南市,117.122021#36.682079,海旗海参(银座购物广场),餐饮服务;糕饼店;糕饼店
111,历下区,济南市,117.05615#36.650149,金马尊爵国际会所,体育休闲服务;体育休闲服务场所;体育休闲服务场所
113,历下区,济南市,117.074215#36.654378,金雅珠宝,购物服务;专卖店;珠宝首饰工艺品
114,历下区,济南市,117.028028#36.666551,宏济堂(县西巷),医疗保健服务;医药保健销售店;药房
115,历下区,济南市,117.068836#36.665995,山东古道农业科技有限公司,公司企业;公司;公司
116,历下区,济南市,117.104028#36.67855,马瑞利捷驶星汽车服务(济南工业南路店),汽车服务;汽车服务相关;汽车服务相关
117,历下区,济南市,117.054007#36.65472,北京建侬(文东店),购物服务;体育用品店;体育用品店
118,历下区,济南市,117.022124#36.671332,人口文化长廊,风景名胜;风景名胜相关;旅游景点
119,历下区,济南市,117.060461#36.660364,汽车美客,汽车服务;汽车服务相关;汽车服务相关
121,历下区,济南市,117.031468#36.665203,济南君哲网站建设公司,公司企业;公司;公司
123,历下区,济南市,117.089834#36.681446,初缘专业减肥养生(华龙路店),生活服务;洗浴推拿场所;洗浴推拿场所
124,历下区,济南市,117.08558#36.673964,舜立广告,公司企业;公司;公司
125,历下区,济南市,117.117508#36.658261,停车场,交通设施服务;停车场;公共停车场
126,历下区,济南市,117.138086#36.688316,济南宏德汽车销售有限公司,汽车销售;汽车销售;汽车销售
127,历下区,济南市,117.032645#36.666193,皇亭大厦停车场(出入口),交通设施服务;停车场;停车场出入口
128,历下区,济南市,117.097177#36.658399,山东省美术馆(西2门),通行设施;临街院门;临街院门
129,历下区,济南市,117.038029#36.673795,安井历下冻品超市,购物服务;购物相关场所;购物相关场所
130,历下区,济南市,117.03295#36.654022,领域国旅,生活服务;旅行社;旅行社
131,历下区,济南市,117.053528#36.638123,中旅嘉苑2号楼,地名地址信息;门牌信息;楼栋号
132,历下区,济南市,117.066604#36.651964,甸柳新村派出所甸南社区警务室,政府机构及社会团体;公检法机构;公安警察
133,历下区,济南市,117.063325#36.666565,山东省济南卫生学校教学医院,医疗保健服务;综合医院;综合医院
134,历下区,济南市,117.043241#36.651788,学海路,地名地址信息;交通地名;道路名
135,历下区,济南市,117.110074#36.681942,海信(奥体店),购物服务;家电电子卖场;家电电子卖场
136,历下区,济南市,117.124524#36.677735,荣象公司,公司企业;公司;公司
137,历下区,济南市,117.047139#36.649848,山东中医药大学社区卫生服务站,医疗保健服务;综合医院;卫生院
138,历下区,济南市,117.03307#36.674373,大明湖景区-鹊华桥,风景名胜;风景名胜;风景名胜
139,历下区,济南市,117.054944#36.673004,炒饼炒面炸串臭豆腐,餐饮服务;餐饮相关场所;餐饮相关
140,历下区,济南市,117.148465#36.696085,济南春秋物资有限公司,公司企业;公司企业;公司企业
142,历下区,济南市,117.051435#36.650788,山大路烧烤(山大路店),餐饮服务;餐饮相关场所;餐饮相关
143,历下区,济南市,117.023043#36.668887,泡芙蜜语(芙蓉街店),餐饮服务;甜品店;甜品店
144,历下区,济南市,117.084334#36.655055,舞蹈钢琴美术,科教文化服务;科教文化场所;科教文化场所
145,历下区,济南市,117.091251#36.684784,印象桂林米粉,餐饮服务;快餐厅;快餐厅
146,历下区,济南市,117.054638#36.66545,济南江达汽修厂,汽车维修;汽车综合维修;汽车综合维修
147,历下区,济南市,117.142792#36.674094,互邦蔬果店,购物服务;专卖店;专营店
148,历下区,济南市,117.026381#36.656458,停车场(千佛山办事处城管科西北),交通设施服务;停车场;公共停车场|交通设施服务;停车场;路边停车场
149,历下区,济南市,117.09245#36.68475,三诺家政,生活服务;生活服务场所;生活服务场所
150,历下区,济南市,117.045431#36.683399,大宝酒水批发,购物服务;购物相关场所;购物相关场所
151,历下区,济南市,117.132195#36.672605,齐鲁软件园F-2号,地名地址信息;门牌信息;楼栋号
152,历下区,济南市,117.06654#36.656727,笛学社音乐教室,科教文化服务;科教文化场所;科教文化场所
153,历下区,济南市,117.022592#36.663845,菀草壹(济南恒隆广场西翼),购物服务;服装鞋帽皮具店;品牌服装店
154,历下区,济南市,117.028981#36.652907,宝珍水果店,购物服务;综合市场;果品市场
155,历下区,济南市,117.057067#36.655044,山东大东科技城(南门),通行设施;临街院门;临街院门
156,历下区,济南市,117.053859#36.64072,社区便民肉菜店,购物服务;综合市场;综合市场
157,历下区,济南市,117.028197#36.655404,民生佳肴,餐饮服务;快餐厅;快餐厅
158,历下区,济南市,117.050849#36.666206,参时代海参,医疗保健服务;医药保健销售店;医疗保健用品
159,历下区,济南市,117.039089#36.660131,水龙海参(历山路),医疗保健服务;医药保健销售店;医疗保健用品
160,历下区,济南市,117.030801#36.667728,OM·]美甲美睫丽人坊,生活服务;美容美发店;美容美发店
161,历下区,济南市,117.078977#36.670174,康泓国际健身俱乐部(东环店),体育休闲服务;体育休闲服务场所;体育休闲服务场所
162,历下区,济南市,117.095145#36.689957,吉星建材,购物服务;家居建材市场;家居建材市场
163,历下区,济南市,117.106277#36.68808,丰巢自提柜,生活服务;物流速递;物流速递
164,历下区,济南市,117.016187#36.662753,趵突泉-西花园,风景名胜;风景名胜;风景名胜
165,历下区,济南市,117.03103#36.65201,s皮肤管理中心,生活服务;生活服务场所;生活服务场所
166,历下区,济南市,117.030151#36.659318,男卫生间(银座商城),公共设施;公共厕所;男洗手间
167,历下区,济南市,117.050562#36.680167,宝泰时尚宾馆(花园路山东大学店),住宿服务;住宿服务相关;住宿服务相关
168,历下区,济南市,117.1306#36.655825,省府文印(龙奥北路店),生活服务;生活服务场所;生活服务场所
169,历下区,济南市,117.0208#36.66402,济南天地置业公司,公司企业;公司;公司
171,历下区,济南市,117.0525#36.660958,创维电视(和平路),购物服务;家电电子卖场;家电电子卖场
172,历下区,济南市,117.13704#36.676175,古城樊氏(美莲广场),餐饮服务;快餐厅;快餐厅
173,历下区,济南市,117.015682#36.647047,碧云泉,购物服务;家电电子卖场;家电电子卖场
174,历下区,济南市,117.07132#36.648045,汇宝泉银楼,购物服务;专卖店;专营店
175,历下区,济南市,117.02665#36.66433,本色造型美发美甲美睫,生活服务;美容美发店;美容美发店
176,历下区,济南市,117.065032#36.66608,智高点教育,科教文化服务;培训机构;培训机构
177,历下区,济南市,117.116907#36.701686,晨曦音乐艺术培训,科教文化服务;培训机构;培训机构
178,历下区,济南市,117.047803#36.646377,省科学院宿舍,商务住宅;住宅区;宿舍
179,历下区,济南市,117.02705#36.645583,中国福利彩票,生活服务;彩票彩券销售点;彩票彩券销售点
180,历下区,济南市,117.078387#36.642861,济南今朝酒业旗舰店,购物服务;专卖店;烟酒专卖店
181,历下区,济南市,117.0136#36.660305,白云轩,餐饮服务;中餐厅;中餐厅
182,历下区,济南市,117.032939#36.670065,历下地税分局大明湖中心税务所(东南门),通行设施;临街院门;临街院门
183,历下区,济南市,117.030487#36.667701,金厨艺(县东巷店),餐饮服务;中餐厅;中餐厅
184,历下区,济南市,117.025724#36.670501,通霞画廊,购物服务;专卖店;专营店
185,历下区,济南市,117.050755#36.672058,历下泽康口腔诊所,医疗保健服务;专科医院;口腔医院
186,历下区,济南市,117.063609#36.659898,停车场,交通设施服务;停车场;路边停车场
187,历下区,济南市,117.054219#36.676861,陆文龙口腔诊所,医疗保健服务;专科医院;口腔医院
189,历下区,济南市,117.028159#36.66391,济南世茂国际广场停车场,交通设施服务;停车场;公共停车场
190,历下区,济南市,117.04962#36.66415,小徐饮品店,餐饮服务;甜品店;甜品店
191,历下区,济南市,117.10161#36.679801,煎饼侠客小吃,餐饮服务;中餐厅;特色/地方风味餐厅
192,历下区,济南市,117.021651#36.65412,山医东村2号楼,地名地址信息;门牌信息;楼栋号
193,历下区,济南市,117.013867#36.654163,步源轩北京布鞋坊(青年西路),购物服务;服装鞋帽皮具店;服装鞋帽皮具店
195,历下区,济南市,117.054928#36.673153,利农小区1号楼,地名地址信息;门牌信息;楼栋号
196,历下区,济南市,117.043545#36.644615,千佛山东路18号小区,商务住宅;住宅区;住宅小区
197,历下区,济南市,117.031701#36.659619,女洗手间(银座商城东区),公共设施;公共厕所;女洗手间
198,历下区,济南市,117.037278#36.674641,鑫湖炒货,购物服务;综合市场;果品市场
199,历下区,济南市,117.132215#36.695702,牛旺小区6号楼,地名地址信息;门牌信息;楼栋号
200,历下区,济南市,117.01808#36.671799,金德利民快餐(大明湖路粮油食品店),餐饮服务;中餐厅;中餐厅
201,历下区,济南市,117.031592#36.665063,世茂国际广场东座(南二十一门),通行设施;建筑物门;建筑物门
202,历下区,济南市,117.11038#36.69029,火红塑料土产批发,购物服务;家居建材市场;家居建材市场
203,历下区,济南市,117.027014#36.656572,省审计厅宿舍,商务住宅;住宅区;宿舍
204,历下区,济南市,117.125595#36.68254,济南灵秀环保科技有限公司,公司企业;公司;公司
205,历下区,济南市,117.146461#36.677465,山东天达有限公司,公司企业;公司;公司
206,历下区,济南市,117.029927#36.659486,耐克童装,购物服务;专卖店;儿童用品店
207,历下区,济南市,117.092317#36.690653,豫鲁印象休闲餐厅,餐饮服务;中餐厅;山东菜(鲁菜)
208,历下区,济南市,117.136667#36.667686,得安,公司企业;公司;公司
209,历下区,济南市,117.10967#36.707461,盛福片区公租房,商务住宅;住宅区;住宅区
210,历下区,济南市,117.039515#36.643882,千佛山东二路,地名地址信息;交通地名;道路名
211,历下区,济南市,117.0391#36.648765,温馨学生公寓(山师南门店),商务住宅;住宅区;宿舍
212,历下区,济南市,117.068089#36.657817,两条腿(吉祥苑商业街),购物服务;服装鞋帽皮具店;服装鞋帽皮具店
213,历下区,济南市,117.132091#36.67448,莱特共翔,生活服务;生活服务场所;生活服务场所
214,历下区,济南市,117.056463#36.663326,海派生煎,餐饮服务;快餐厅;快餐厅
215,历下区,济南市,117.060725#36.658315,历下公安,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关
216,历下区,济南市,117.146319#36.682917,山东职业学院(西校区),科教文化服务;学校;高等院校
217,历下区,济南市,117.08933#36.65361,陕西老潼关肉夹馍(秦镇米皮),餐饮服务;中餐厅;特色/地方风味餐厅
218,历下区,济南市,117.045469#36.653421,化学化工学会10号楼,地名地址信息;门牌信息;楼栋号
219,历下区,济南市,117.053809#36.672076,领秀·梦舒雅(山大南路),购物服务;服装鞋帽皮具店;服装鞋帽皮具店
220,历下区,济南市,117.087834#36.648473,M·K私人美甲美睫半永久,生活服务;美容美发店;美容美发店
221,历下区,济南市,117.115293#36.665887,济南燕山新居公寓,住宿服务;住宿服务相关;住宿服务相关
222,历下区,济南市,117.027915#36.652253,烤肉拌饭(千佛山店),餐饮服务;快餐厅;快餐厅
223,历下区,济南市,117.050415#36.662796,历山东路86号院3号楼,地名地址信息;门牌信息;楼栋号
224,历下区,济南市,117.023302#36.664424,康洁洗衣(恒隆广场店),生活服务;洗衣店;洗衣店
225,历下区,济南市,117.102871#36.698999,济南丰业数控设备有限公司,公司企业;公司;公司
226,历下区,济南市,117.058468#36.666676,济南双达光电有限公司,公司企业;公司;公司|购物服务;专卖店;专营店
227,历下区,济南市,117.128291#36.666379,名士轩停车场,交通设施服务;停车场;公共停车场
228,历下区,济南市,117.075736#36.654337,停车场(出入口),交通设施服务;停车场;停车场出入口
229,历下区,济南市,117.044892#36.669358,中医艾灸养生馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所
230,历下区,济南市,117.016294#36.665918,格力4S+1店,购物服务;购物相关场所;购物相关场所
231,历下区,济南市,117.04421#36.673471,东仓小区8号楼,地名地址信息;门牌信息;楼栋号
232,历下区,济南市,117.055741#36.660236,三居鲁味坊黄焖鸡,餐饮服务;快餐厅;快餐厅
233,历下区,济南市,117.150173#36.667979,兰州牛肉面(济高龙园东),餐饮服务;中餐厅;清真菜馆
234,历下区,济南市,117.131472#36.678116,山东绿环动力设备有限公司,公司企业;公司;公司
235,历下区,济南市,117.0706#36.658258,三洋洋商贸中心老三饭店配送,生活服务;物流速递;物流速递
236,历下区,济南市,117.05467#36.630281,大千佛山景区佛慧山-开元寺,风景名胜;风景名胜相关;旅游景点
237,历下区,济南市,117.14439#36.70138,菜鸟驿站(济南祥泰新河湾6号楼店),生活服务;物流速递;物流速递
238,历下区,济南市,117.035817#36.679687,山东富邦能源有限公司,公司企业;公司;公司
239,历下区,济南市,117.036863#36.645545,山东省文物科技保护中心,政府机构及社会团体;政府机关;省直辖市级政府及事业单位
240,历下区,济南市,117.02697#36.665009,如家商旅酒店(广场店),住宿服务;宾馆酒店;宾馆酒店
241,历下区,济南市,117.061519#36.658695,燕子山小区东区15号楼,地名地址信息;门牌信息;楼栋号
242,历下区,济南市,117.031721#36.654325,海辰大厦,商务住宅;楼宇;商务写字楼
243,历下区,济南市,117.126875#36.643408,海尔绿城全运村1期,商务住宅;住宅区;住宅小区
244,历下区,济南市,117.111622#36.682331,停车场(出入口),交通设施服务;停车场;停车场出入口
245,历下区,济南市,117.074845#36.64286,青苹果之家青年公寓(济南4号店),住宿服务;旅馆招待所;旅馆招待所
246,历下区,济南市,117.10939#36.68158,乐道传媒,科教文化服务;科教文化场所;科教文化场所
247,历下区,济南市,117.025254#36.64978,华为办事处,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关
248,历下区,济南市,117.04484#36.68158,小方扒鸡,餐饮服务;餐饮相关场所;餐饮相关
249,历下区,济南市,117.114883#36.689597,华亚工业园(南门),通行设施;临街院门;临街院正门
250,历下区,济南市,117.107428#36.686036,let'spizza(奥体西路店),餐饮服务;外国餐厅;外国餐厅
251,历下区,济南市,117.092278#36.681572,99家政,生活服务;中介机构;中介机构
252,历下区,济南市,117.091042#36.684539,爱斯即膜面膜体验店(汇隆广场店),购物服务;个人用品/化妆品店;其它个人用品店
253,历下区,济南市,117.038218#36.654297,公共厕所,公共设施;公共厕所;公共厕所
254,历下区,济南市,117.029772#36.655163,梦缘1990主题酒店,住宿服务;宾馆酒店;宾馆酒店
255,历下区,济南市,117.132005#36.671699,山东微笑集成科技有限公司,公司企业;公司;公司
256,历下区,济南市,117.023#36.666488,莎式茶语(芙蓉街店),餐饮服务;甜品店;甜品店
257,历下区,济南市,117.136792#36.66897,达盛集团(舜华路),公司企业;公司;公司
258,历下区,济南市,117.088367#36.68117,味美斋单县羊汤(华龙路店),餐饮服务;快餐厅;快餐厅
259,历下区,济南市,117.128446#36.696334,机床四厂路与花园东路交叉口,地名地址信息;交通地名;路口名
260,历下区,济南市,117.03591#36.66093,香港观唐设计机构(泺源店),生活服务;生活服务场所;生活服务场所
261,历下区,济南市,117.11678#36.658289,105入口,通行设施;通行设施;通行设施
262,历下区,济南市,117.084651#36.645849,女子监狱宿舍,商务住宅;住宅区;宿舍
264,历下区,济南市,117.124347#36.637829,桂花园南区(北门),通行设施;临街院门;临街院正门
265,历下区,济南市,117.044724#36.65686,师东15号休闲食品超市(总店),餐饮服务;快餐厅;快餐厅
266,历下区,济南市,117.054845#36.666742,济南雅元贸易有限公司,公司企业;公司;公司
267,历下区,济南市,117.052753#36.675325,绿景尚品售楼处,生活服务;生活服务场所;生活服务场所
268,历下区,济南市,117.020561#36.655705,山东大学齐鲁医院-急性胸痛中心,医疗保健服务;综合医院;综合医院
269,历下区,济南市,117.107442#36.679021,鑫泽琦汽修厂,汽车维修;汽车维修;汽车维修
270,历下区,济南市,117.136549#36.655246,九号地下车库(3号出入口),交通设施服务;停车场;停车场出入口
271,历下区,济南市,117.123031#36.681381,安妮益智玩具(丁豪广场),购物服务;服装鞋帽皮具店;品牌服装店
272,历下区,济南市,117.145081#36.692436,石化园小区(公交站),交通设施服务;公交车站;公交车站相关
273,历下区,济南市,117.028694#36.664813,佰烧海鲜烤肉自助(世茂店),餐饮服务;中餐厅;特色/地方风味餐厅
274,历下区,济南市,117.114142#36.660783,徒河黑猪(高新区礼品店),购物服务;综合市场;农副产品市场
275,历下区,济南市,117.072835#36.637205,引路人社区教育总部,科教文化服务;科教文化场所;科教文化场所
276,历下区,济南市,117.037867#36.673757,东门小商品市场(西门),通行设施;临街院门;临街院门
277,历下区,济南市,117.12922#36.690757,微舞街舞(高新区店),科教文化服务;培训机构;培训机构
278,历下区,济南市,117.038569#36.682664,柳行菜市场,购物服务;综合市场;综合市场
279,历下区,济南市,117.109306#36.701033,中国体育彩票,生活服务;彩票彩券销售点;彩票彩券销售点
280,历下区,济南市,117.128518#36.694487,乐帕商贸,购物服务;购物相关场所;购物相关场所
281,历下区,济南市,117.054016#36.638276,三诺家政,生活服务;中介机构;中介机构
282,历下区,济南市,117.066815#36.645309,燕东山庄,商务住宅;住宅区;住宅小区
283,历下区,济南市,117.051333#36.686565,晟邦物流,生活服务;物流速递;物流速递
284,历下区,济南市,117.026653#36.665807,贵和商厦改衣处,生活服务;生活服务场所;生活服务场所
285,历下区,济南市,117.127935#36.67414,鸿福手工水饺馄饨,餐饮服务;快餐厅;快餐厅
286,历下区,济南市,117.021033#36.668233,省直统管房10号楼,地名地址信息;门牌信息;楼栋号
